Data_Pubblicazione,Azienda,Ruolo,Competenze_Richieste,Sede,URL_Candidatura
2026-08-24T00:24:16+00:00,The Abaco Club,Residential Technician,"design, education, technical, customer support, dev, exec, senior, ops, excel, engineer, digital nomad, marketing, virtual assistant, medical","Marsh Harbour, ",https://remoteOK.com/remote-jobs/remote-residential-technician-the-abaco-club-1137096
2026-08-23T20:09:16+00:00,Territory Generation,Electrical Tradesperson,"education, technical, exec, ops","Alice Springs, ",https://remoteOK.com/remote-jobs/remote-electrical-tradesperson-territory-generation-1137092
2026-08-23T14:25:00+00:00,Saasuji,CDP,"finance, medical, non tech","Newcastle Upon Tyne, ",https://remoteOK.com/remote-jobs/remote-cdp-saasuji-1137091
2026-08-23T09:45:26+00:00,Subway,Sandwich artist,"education, non tech","Grand Falls-Windsor, ",https://remoteOK.com/remote-jobs/remote-sandwich-artist-subway-1137086
2026-08-22T16:00:21+00:00,Rowan,Retail Store Associate,"education, customer support, dev, exec, math, node, ops, sales, medical, digital nomad","Chicago, IL",https://remoteOK.com/remote-jobs/remote-retail-store-associate-rowan-1137073
2026-08-22T16:00:15+00:00,Orca Bio,Senior Specialist Global QMS,"hr, sys admin, customer support, marketing, education, exec, senior, medical, engineer, recruiter, full time",,https://remoteOK.com/remote-jobs/remote-senior-specialist-global-qms-orca-bio-1137072
2026-08-22T14:24:57+00:00,Saasuji,Across all departments,"education, non tech, design, marketing, digital nomad","Ahmedabad, ",https://remoteOK.com/remote-jobs/remote-across-all-departments-saasuji-1137075
2026-08-22T11:15:06+00:00,Edspired.Tech,Quantity Surveyor,"exec, customer support, dev, excel, engineer, full time, digital nomad","Vijayawada, ",https://remoteOK.com/remote-jobs/remote-quantity-surveyor-edspired-tech-1137098
2026-08-22T11:11:18+00:00,Newfoundland Chocolate Company,building cleaner,"education, medical, non tech","St Johnâs, ",https://remoteOK.com/remote-jobs/remote-building-cleaner-newfoundland-chocolate-company-1137071
2026-08-22T09:49:29+00:00,Lupin Ltd,Officer,"education, non tech","Greater Nagpur Area, ",https://remoteOK.com/remote-jobs/remote-officer-lupin-ltd-1137074
2026-08-22T09:40:42+00:00,Tesco,Team Manager Newry Extra,"exec, customer support, testing, finance, sales, recruiter","Newry, ",https://remoteOK.com/remote-jobs/remote-team-manager-newry-extra-tesco-1137077
2026-08-22T09:30:43+00:00,JobTrade,DTP Operator,"exec, customer support, dev, excel, engineer, full time, digital nomad, design, content writing, education","Guwahati, ",https://remoteOK.com/remote-jobs/remote-dtp-operator-jobtrade-1137099
2026-08-22T01:20:50+00:00,InPost Group,Parcel Delivery Drivers,,"Indore, ",https://remoteOK.com/remote-jobs/remote-parcel-delivery-drivers-inpost-group-1137066
2026-08-22T00:00:12+00:00,Kruger NearShore LLC - Rekluti,DESARROLLADOR FULL STACK,"full stack, front end, python, dev, testing, web dev, quality assurance, devops, c, cloud, nosql, git, flutter, angular, mobile, golang, backend, digital nomad",,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062
2026-08-22T00:00:05+00:00,RainFocus,Senior Governance Risk and Compliance Analyst,"analyst, design, saas, infosec, education, technical, dev, cloud, exec, senior, ops, marketing, engineer, digital nomad","Orem, UT",https://remoteOK.com/remote-jobs/remote-senior-governance-risk-and-compliance-analyst-rainfocus-1137061
2026-08-22T00:00:00+00:00,East Coast Concepts,CDP,"finance, medical, non tech","Newcastle Upon Tyne, ",https://remoteOK.com/remote-jobs/remote-cdp-east-coast-concepts-1137065
2026-08-21T20:41:18+00:00,Shoppers Drug Mart,Post Office Manager,"exec, customer support, dev, medical, digital nomad","Kitchener, ",https://remoteOK.com/remote-jobs/remote-post-office-manager-shoppers-drug-mart-1137063
2026-08-21T15:21:35+00:00,Linsco Ltd,Estimator,"design, dev, travel, finance, scheme, microsoft, exec, excel, full time, digital nomad","Dronfield, ",https://remoteOK.com/remote-jobs/remote-estimator-linsco-ltd-1137060
2026-08-21T14:53:06+00:00,Dart,Project Systems Specialist,"design, sys admin, education, customer support, testing, travel, node, microsoft, exec, ops, medical, engineer, digital nomad, c sharp, technical, marketing, quality assurance, javascript, c, css, html","George Town, ",https://remoteOK.com/remote-jobs/remote-project-systems-specialist-dart-1137069
2026-08-21T11:24:27+00:00,MyAarohan,Uday,"marketing, non tech","QuÃ©bec, ",https://remoteOK.com/remote-jobs/remote-uday-myaarohan-1137048
2026-08-21T07:29:30+00:00,McNab,Estimator Brisbane,"education, customer support, dev, marketing, exec, medical, recruiter, digital nomad","West End, ",https://remoteOK.com/remote-jobs/remote-estimator-brisbane-mcnab-1137047
2026-08-21T03:46:09+00:00,Kent Removals &amp; Storage,Removalist Offsider,"customer support, non tech, education, golang, medical, full time","Albury, ",https://remoteOK.com/remote-jobs/remote-removalist-offsider-kent-removals-amp-storage-1137059
2026-08-21T03:35:47+00:00,OTR,Reddy Express Alice Springs Mt Gillen Customer Service Representative,"virtual assistant, customer support, marketing, travel, speech, finance, medical, recruiter, non tech, exec, infosec, education, ops, sales, golang","Alice Springs, ",https://remoteOK.com/remote-jobs/remote-reddy-express-alice-springs-mt-gillen-customer-service-representative-otr-1137043
2026-08-21T03:25:38+00:00,UzEats,Open positions,"customer support, non tech","Reach, ",https://remoteOK.com/remote-jobs/remote-open-positions-uzeats-1137037
2026-08-21T02:42:25+00:00,Cotton On Group,Stock Assistant Supre Parramatta,"virtual assistant, customer support, marketing, travel, speech, finance, medical, recruiter, non tech","Parramatta, ",https://remoteOK.com/remote-jobs/remote-stock-assistant-supre-parramatta-cotton-on-group-1137039
2026-08-21T02:25:39+00:00,Retail FX,Store Manager Bunbury,"virtual assistant, customer support, marketing, travel, speech, finance, medical, recruiter, non tech, exec, infosec, education, ops, sales, golang","Bunbury, ",https://remoteOK.com/remote-jobs/remote-store-manager-bunbury-retail-fx-1137042
2026-08-20T22:43:28+00:00,Cable Bahamas Ltd.,Field Technician III,"design, sys admin, education, customer support, testing, travel, node, microsoft, exec, ops, medical, engineer, digital nomad","Nassau, ",https://remoteOK.com/remote-jobs/remote-field-technician-iii-cable-bahamas-ltd-1137068
2026-08-20T20:42:30+00:00,Shoppers Drug Mart,Beauty merchandiser,"sales, non tech, customer support, microsoft, ops, excel, recruiter, full time, dev, exec, medical, digital nomad","Kingston, ",https://remoteOK.com/remote-jobs/remote-beauty-merchandiser-shoppers-drug-mart-1137055
2026-08-20T20:09:10+00:00,NT Health,Orderly,"exec, medical","Alice Springs, ",https://remoteOK.com/remote-jobs/remote-orderly-nt-health-1137035
